,Zone,Year,Date,Above Danger,Near Danger,Below Danger
0,2,2021,2021/04/12 6:43 AM,1,1,1
1,2,2021,2021/04/11 6:34 AM,1,1,1
2,2,2021,2021/04/10 6:01 AM,1,1,1
3,2,2021,2021/04/09 6:15 AM,1,1,1
4,2,2021,2021/04/08 6:33 AM,1,1,2
5,2,2021,2021/04/07 6:57 AM,1,1,2
6,2,2021,2021/04/06 6:57 AM,2,2,2
7,2,2021,2021/04/05 6:21 AM,2,3,3
8,2,2021,2021/04/04 6:47 AM,3,3,3
9,2,2021,2021/04/03 6:53 AM,2,2,2
10,2,2021,2021/04/02 6:47 AM,2,2,2
11,2,2021,2021/04/01 6:36 AM,2,2,1
12,2,2021,2021/03/31 7:00 AM,2,2,1
13,2,2021,2021/03/30 6:38 AM,3,2,2
14,2,2021,2021/03/29 6:18 AM,3,2,2
15,2,2021,2021/03/28 6:37 AM,2,2,2
16,2,2021,2021/03/27 6:44 AM,2,2,2
17,2,2021,2021/03/26 7:07 AM,2,2,2
18,2,2021,2021/03/25 7:34 AM,2,2,2
19,2,2021,2021/03/24 7:22 AM,2,1,1
20,2,2021,2021/03/23 6:51 AM,2,1,1
21,2,2021,2021/03/22 7:11 AM,2,2,1
22,2,2021,2021/03/21 7:18 AM,2,1,1
23,2,2021,2021/03/20 6:57 AM,1,2,2
24,2,2021,2021/03/19 6:36 AM,2,2,2
25,2,2021,2021/03/18 7:16 AM,2,2,2
26,2,2021,2021/03/17 7:10 AM,2,2,1
27,2,2021,2021/03/16 7:13 AM,2,2,2
28,2,2021,2021/03/15 7:25 AM,3,3,2
29,2,2021,2021/03/14 7:04 AM,3,3,3
30,2,2021,2021/03/13 7:38 AM,2,2,2
31,2,2021,2021/03/12 7:08 AM,1,1,1
32,2,2021,2021/03/11 6:50 AM,2,2,1
33,2,2021,2021/03/10 7:29 AM,2,2,1
34,2,2021,2021/03/09 7:12 AM,2,2,1
35,2,2021,2021/03/08 6:55 AM,2,2,2
36,2,2021,2021/03/07 6:56 AM,2,2,2
37,2,2021,2021/03/06 6:44 AM,2,2,1
38,2,2021,2021/03/05 6:39 AM,2,2,2
39,2,2021,2021/03/04 7:03 AM,2,2,2
40,2,2021,2021/03/03 6:37 AM,2,2,1
41,2,2021,2021/03/02 6:57 AM,2,2,1
42,2,2021,2021/03/01 7:11 AM,2,2,1
43,2,2021,2021/02/28 6:43 AM,2,2,2
44,2,2021,2021/02/27 6:49 AM,2,2,2
45,2,2021,2021/02/26 6:43 AM,2,2,2
46,2,2021,2021/02/25 6:48 AM,2,2,2
47,2,2021,2021/02/24 6:54 AM,2,2,2
48,2,2021,2021/02/23 6:56 AM,2,2,2
49,2,2021,2021/02/22 7:19 AM,3,2,2
50,2,2021,2021/02/21 7:08 AM,3,3,2
51,2,2021,2021/02/20 7:18 AM,3,3,2
52,2,2021,2021/02/19 6:56 AM,3,3,2
53,2,2021,2021/02/18 6:41 AM,3,3,3
54,2,2021,2021/02/17 6:22 AM,3,3,3
55,2,2021,2021/02/16 6:56 AM,3,3,3
56,2,2021,2021/02/15 7:11 AM,3,3,3
57,2,2021,2021/02/14 6:53 AM,3,3,3
58,2,2021,2021/02/13 7:14 AM,3,3,3
59,2,2021,2021/02/12 7:32 AM,2,2,2
60,2,2021,2021/02/11 7:09 AM,2,2,2
61,2,2021,2021/02/10 7:16 AM,3,3,3
62,2,2021,2021/02/09 7:11 AM,3,3,3
63,2,2021,2021/02/08 7:29 AM,3,3,3
64,2,2021,2021/02/07 6:41 AM,4,4,3
65,2,2021,2021/02/06 6:47 AM,4,4,3
66,2,2021,2021/02/05 7:08 AM,4,4,3
67,2,2021,2021/02/04 6:47 AM,4,4,3
68,2,2021,2021/02/03 7:25 AM,3,3,3
69,2,2021,2021/02/02 7:11 AM,2,2,2
70,2,2021,2021/02/01 7:23 AM,2,2,2
71,2,2021,2021/01/31 7:06 AM,3,3,3
72,2,2021,2021/01/30 7:25 AM,2,2,1
73,2,2021,2021/01/29 6:56 AM,2,2,1
74,2,2021,2021/01/28 7:10 AM,2,2,1
75,2,2021,2021/01/27 7:35 AM,3,2,1
76,2,2021,2021/01/26 7:08 AM,2,2,1
77,2,2021,2021/01/25 7:22 AM,2,2,1
78,2,2021,2021/01/24 7:15 AM,2,2,1
79,2,2021,2021/01/23 7:34 AM,2,2,1
80,2,2021,2021/01/22 7:22 AM,2,2,1
81,2,2021,2021/01/21 6:29 AM,2,2,1
82,2,2021,2021/01/20 6:59 AM,2,2,1
83,2,2021,2021/01/19 7:25 AM,2,2,1
84,2,2021,2021/01/18 7:18 AM,2,2,2
85,2,2021,2021/01/17 6:56 AM,2,2,2
86,2,2021,2021/01/16 6:44 AM,2,2,2
87,2,2021,2021/01/15 6:47 AM,2,2,2
88,2,2021,2021/01/14 6:53 AM,3,3,3
89,2,2021,2021/01/13 6:27 AM,2,2,2
90,2,2021,2021/01/12 6:57 AM,2,2,2
91,2,2021,2021/01/11 6:35 AM,2,2,2
92,2,2021,2021/01/10 6:34 AM,3,3,2
93,2,2021,2021/01/09 7:02 AM,3,3,2
94,2,2021,2021/01/08 6:52 AM,2,2,2
95,2,2021,2021/01/07 7:34 AM,3,3,2
96,2,2021,2021/01/06 7:26 AM,2,2,2
97,2,2021,2021/01/05 6:30 AM,2,2,2
98,2,2021,2021/01/04 6:44 AM,2,2,2
99,2,2021,2021/01/03 7:19 AM,2,2,2
100,2,2021,2021/01/02 6:42 AM,2,2,2
101,2,2021,2021/01/01 6:51 AM,3,3,2
102,2,2020,2020/12/31 6:23 AM,3,3,2
103,2,2020,2020/12/30 6:51 AM,3,3,3
104,2,2020,2020/12/29 7:03 AM,3,3,3
105,2,2020,2020/12/28 7:46 AM,3,3,2
106,2,2020,2020/12/27 7:30 AM,3,2,2
107,2,2020,2020/12/26 7:14 AM,2,2,2
108,2,2020,2020/12/25 7:06 AM,3,3,2
109,2,2020,2020/12/24 7:10 AM,3,3,2
110,2,2020,2020/12/23 7:27 AM,3,3,2
111,2,2020,2020/12/22 6:56 AM,3,3,2
112,2,2020,2020/12/21 7:19 AM,3,3,2
113,2,2020,2020/12/20 7:00 AM,3,3,2
114,2,2020,2020/12/19 7:06 AM,3,3,2
115,2,2020,2020/12/18 6:44 AM,2,2,1
116,2,2020,2020/12/17 7:12 AM,2,2,1
117,2,2020,2020/12/16 7:18 AM,2,2,1
118,2,2020,2020/12/15 7:09 AM,2,2,1
119,2,2020,2020/12/14 6:53 AM,2,2,1
120,2,2020,2020/12/13 6:44 AM,2,2,1
121,2,2020,2020/12/12 7:14 AM,2,2,1
122,2,2020,2020/12/11 7:20 AM,1,1,1
123,2,2020,2020/12/10 6:44 AM,1,1,1
124,2,2020,2020/12/09 6:28 AM,1,1,1
125,2,2020,2020/12/08 6:17 AM,1,1,1
126,2,2020,2020/12/07 5:39 AM,1,1,1
127,2,2020,2020/12/06 6:11 AM,1,1,1
128,2,2020,2020/12/05 6:46 AM,1,1,1
129,2,2020,2020/12/04 6:04 AM,1,1,1
130,2,2020,2020/12/03 6:48 AM,1,1,1
