,Zone,Year,Date,Above Danger,Near Danger,Below Danger
0,4,2021,2021/04/12 6:28 AM,1,1,1
1,4,2021,2021/04/11 6:31 AM,1,1,1
2,4,2021,2021/04/10 5:51 AM,1,1,1
3,4,2021,2021/04/09 6:15 AM,1,1,1
4,4,2021,2021/04/08 6:58 AM,1,2,2
5,4,2021,2021/04/07 6:21 AM,1,1,2
6,4,2021,2021/04/06 6:49 AM,2,2,3
7,4,2021,2021/04/05 6:16 AM,3,3,3
8,4,2021,2021/04/04 6:23 AM,3,3,3
9,4,2021,2021/04/03 6:49 AM,2,2,3
10,4,2021,2021/04/02 7:22 AM,2,2,2
11,4,2021,2021/04/01 5:57 AM,2,2,1
12,4,2021,2021/03/31 6:24 AM,2,2,1
13,4,2021,2021/03/30 6:27 AM,2,2,1
14,4,2021,2021/03/29 6:06 AM,2,2,2
15,4,2021,2021/03/28 6:48 AM,2,2,2
16,4,2021,2021/03/27 7:18 AM,2,2,2
17,4,2021,2021/03/26 7:15 AM,2,2,2
18,4,2021,2021/03/25 6:53 AM,2,2,2
19,4,2021,2021/03/24 7:14 AM,2,1,1
20,4,2021,2021/03/23 6:46 AM,2,1,1
21,4,2021,2021/03/22 6:55 AM,2,1,1
22,4,2021,2021/03/21 6:57 AM,2,1,1
23,4,2021,2021/03/20 7:16 AM,1,2,2
24,4,2021,2021/03/19 6:35 AM,2,2,2
25,4,2021,2021/03/18 6:53 AM,2,2,2
26,4,2021,2021/03/17 6:30 AM,2,2,1
27,4,2021,2021/03/16 7:30 AM,3,3,2
28,4,2021,2021/03/15 7:13 AM,3,3,2
29,4,2021,2021/03/14 7:15 AM,3,3,3
30,4,2021,2021/03/13 7:53 AM,2,2,2
31,4,2021,2021/03/12 7:25 AM,2,2,1
32,4,2021,2021/03/11 6:42 AM,2,2,1
33,4,2021,2021/03/10 7:57 AM,2,2,1
34,4,2021,2021/03/09 6:57 AM,2,2,2
35,4,2021,2021/03/08 7:08 AM,2,2,2
36,4,2021,2021/03/07 6:44 AM,2,2,2
37,4,2021,2021/03/06 6:42 AM,2,2,2
38,4,2021,2021/03/05 6:42 AM,2,2,2
39,4,2021,2021/03/04 7:36 AM,2,2,2
40,4,2021,2021/03/03 6:37 AM,2,2,2
41,4,2021,2021/03/02 6:44 AM,2,2,2
42,4,2021,2021/03/01 7:02 AM,2,2,2
43,4,2021,2021/02/28 6:59 AM,2,2,2
44,4,2021,2021/02/27 6:24 AM,2,2,2
45,4,2021,2021/02/26 6:51 AM,2,2,2
46,4,2021,2021/02/25 6:01 AM,2,2,2
47,4,2021,2021/02/24 7:48 AM,3,3,2
48,4,2021,2021/02/23 7:09 AM,3,3,2
49,4,2021,2021/02/22 7:00 AM,3,3,2
50,4,2021,2021/02/21 7:06 AM,3,3,3
51,4,2021,2021/02/20 7:18 AM,3,3,2
52,4,2021,2021/02/19 7:05 AM,3,3,3
53,4,2021,2021/02/18 7:11 AM,3,3,3
54,4,2021,2021/02/17 6:33 AM,3,3,3
55,4,2021,2021/02/16 7:18 AM,3,3,3
56,4,2021,2021/02/15 7:29 AM,3,3,3
57,4,2021,2021/02/14 7:14 AM,3,3,3
58,4,2021,2021/02/13 7:21 AM,4,4,4
59,4,2021,2021/02/12 7:28 AM,3,3,3
60,4,2021,2021/02/11 6:33 AM,3,3,3
61,4,2021,2021/02/10 7:35 AM,3,3,3
62,4,2021,2021/02/09 7:03 AM,3,3,3
63,4,2021,2021/02/08 7:11 AM,3,3,3
64,4,2021,2021/02/07 7:17 AM,3,3,3
65,4,2021,2021/02/06 7:00 AM,3,3,3
66,4,2021,2021/02/05 7:28 AM,4,3,3
67,4,2021,2021/02/04 6:40 AM,4,4,4
68,4,2021,2021/02/03 7:32 AM,4,4,4
69,4,2021,2021/02/02 7:01 AM,3,3,2
70,4,2021,2021/02/01 6:38 AM,3,3,2
71,4,2021,2021/01/31 7:24 AM,3,3,2
72,4,2021,2021/01/30 7:12 AM,3,3,2
73,4,2021,2021/01/29 6:46 AM,2,2,2
74,4,2021,2021/01/28 6:50 AM,3,3,2
75,4,2021,2021/01/27 7:43 AM,3,2,2
76,4,2021,2021/01/26 7:28 AM,2,2,2
77,4,2021,2021/01/25 6:55 AM,2,2,2
78,4,2021,2021/01/24 7:01 AM,2,2,2
79,4,2021,2021/01/23 7:18 AM,2,2,2
80,4,2021,2021/01/22 7:01 AM,2,2,1
81,4,2021,2021/01/21 6:52 AM,1,2,1
82,4,2021,2021/01/20 6:29 AM,1,2,1
83,4,2021,2021/01/19 6:57 AM,1,2,1
84,4,2021,2021/01/18 6:49 AM,1,2,1
85,4,2021,2021/01/17 7:30 AM,2,2,1
86,4,2021,2021/01/16 6:37 AM,2,2,2
87,4,2021,2021/01/15 6:22 AM,2,2,2
88,4,2021,2021/01/14 6:55 AM,2,2,2
89,4,2021,2021/01/13 7:03 AM,2,2,2
90,4,2021,2021/01/12 6:58 AM,2,2,2
91,4,2021,2021/01/11 7:06 AM,2,2,2
92,4,2021,2021/01/10 6:30 AM,2,2,2
93,4,2021,2021/01/09 7:02 AM,2,2,2
94,4,2021,2021/01/08 7:05 AM,2,2,2
95,4,2021,2021/01/07 7:13 AM,2,2,2
96,4,2021,2021/01/06 7:20 AM,2,2,2
97,4,2021,2021/01/05 7:05 AM,2,2,2
98,4,2021,2021/01/04 6:58 AM,2,2,2
99,4,2021,2021/01/03 7:05 AM,2,2,2
100,4,2021,2021/01/02 6:33 AM,3,3,2
101,4,2021,2021/01/01 6:50 AM,3,3,2
102,4,2020,2020/12/31 6:56 AM,3,3,3
103,4,2020,2020/12/30 6:50 AM,3,3,3
104,4,2020,2020/12/29 7:27 AM,4,4,3
105,4,2020,2020/12/28 7:17 AM,3,3,2
106,4,2020,2020/12/27 7:11 AM,3,3,2
107,4,2020,2020/12/26 7:01 AM,3,3,2
108,4,2020,2020/12/25 6:48 AM,3,3,2
109,4,2020,2020/12/24 7:09 AM,3,3,3
110,4,2020,2020/12/23 7:20 AM,3,3,3
111,4,2020,2020/12/22 6:31 AM,3,3,3
112,4,2020,2020/12/21 7:51 AM,3,3,3
113,4,2020,2020/12/20 7:25 AM,3,3,3
114,4,2020,2020/12/19 7:33 AM,3,3,2
115,4,2020,2020/12/18 7:19 AM,3,3,2
116,4,2020,2020/12/17 7:01 AM,3,3,2
117,4,2020,2020/12/16 7:36 AM,3,3,2
118,4,2020,2020/12/15 7:11 AM,3,3,2
119,4,2020,2020/12/14 6:21 AM,3,3,2
120,4,2020,2020/12/13 7:15 AM,3,3,2
121,4,2020,2020/12/12 7:16 AM,3,3,2
122,4,2020,2020/12/11 7:19 AM,2,2,1
123,4,2020,2020/12/10 6:41 AM,1,1,1
124,4,2020,2020/12/09 5:52 AM,1,1,1
125,4,2020,2020/12/08 6:44 AM,1,1,1
126,4,2020,2020/12/07 6:10 AM,1,1,1
127,4,2020,2020/12/06 5:58 AM,1,1,1
128,4,2020,2020/12/05 6:43 AM,1,1,1
129,4,2020,2020/12/04 5:35 AM,1,1,1
130,4,2020,2020/12/03 6:17 AM,1,1,1
131,4,2020,2020/12/02 6:35 AM,1,1,1
132,4,2020,2020/12/01 6:33 AM,1,1,1
133,4,2020,2020/11/30 6:34 AM,1,1,1
134,4,2020,2020/11/29 7:01 AM,1,1,1
135,4,2020,2020/11/28 6:57 AM,1,1,1
136,4,2020,2020/11/27 6:40 AM,1,1,1
137,4,2020,2020/11/26 6:17 AM,1,1,1
138,4,2020,2020/11/25 6:57 AM,1,1,1
139,4,2020,2020/11/24 7:31 AM,1,1,1
140,4,2020,2020/11/23 6:49 AM,1,1,1
141,4,2020,2020/11/22 6:32 AM,1,1,1
142,4,2020,2020/11/21 6:53 AM,1,1,1
143,4,2020,2020/11/20 6:38 AM,1,1,1
144,4,2020,2020/11/19 6:30 AM,1,1,1
145,4,2020,2020/11/18 6:34 AM,2,2,1
146,4,2020,2020/11/17 6:59 AM,2,2,1
147,4,2020,2020/11/16 6:51 AM,2,2,1
148,4,2020,2020/11/15 7:04 AM,2,2,1
149,4,2020,2020/11/14 6:51 AM,2,2,1
150,4,2020,2020/11/13 6:18 AM,1,1,1
151,4,2020,2020/10/31 6:49 AM,0,0,0
152,4,2020,2020/10/30 9:15 AM,4,4,4
153,4,2020,2020/10/28 1:46 PM,1,1,1
154,4,2020,2020/10/27 12:02 PM,1,1,1
155,4,2020,2020/10/26 2:01 PM,1,1,1
156,4,2020,2020/06/03 12:50 PM,0,0,0
157,4,2020,2020/05/30 3:09 PM,0,0,0
158,4,2020,2020/04/12 6:56 AM,2,2,1
159,4,2020,2020/04/11 6:45 AM,2,2,2
160,4,2020,2020/04/10 6:51 AM,2,2,2
161,4,2020,2020/04/09 7:04 AM,2,2,2
162,4,2020,2020/04/08 7:08 AM,2,2,2
163,4,2020,2020/04/07 6:46 AM,2,2,2
164,4,2020,2020/04/06 6:47 AM,2,2,2
165,4,2020,2020/04/05 6:54 AM,2,2,2
166,4,2020,2020/04/04 6:38 AM,2,2,2
167,4,2020,2020/04/03 6:36 AM,2,2,1
168,4,2020,2020/04/02 6:27 AM,2,2,1
169,4,2020,2020/04/01 6:51 AM,2,2,2
170,4,2020,2020/03/31 6:55 AM,2,2,2
171,4,2020,2020/03/30 6:48 AM,2,2,1
172,4,2020,2020/03/29 6:40 AM,2,2,1
173,4,2020,2020/03/28 6:44 AM,2,2,1
174,4,2020,2020/03/27 6:53 AM,2,2,1
175,4,2020,2020/03/26 7:55 AM,2,2,1
176,4,2020,2020/03/25 6:51 AM,2,2,1
177,4,2020,2020/03/24 6:40 AM,2,2,1
178,4,2020,2020/03/23 6:51 AM,2,2,1
179,4,2020,2020/03/22 6:59 AM,2,2,2
180,4,2020,2020/03/21 7:08 AM,2,2,2
181,4,2020,2020/03/20 6:22 AM,3,3,3
182,4,2020,2020/03/19 6:26 AM,3,3,3
183,4,2020,2020/03/18 6:41 AM,1,1,2
184,4,2020,2020/03/17 7:04 AM,1,2,2
185,4,2020,2020/03/16 6:37 AM,2,2,2
186,4,2020,2020/03/15 6:42 AM,2,2,2
187,4,2020,2020/03/14 7:09 AM,2,2,2
188,4,2020,2020/03/13 7:04 AM,2,2,2
189,4,2020,2020/03/12 7:11 AM,1,2,2
190,4,2020,2020/03/11 6:46 AM,1,1,1
191,4,2020,2020/03/10 7:12 AM,1,1,2
192,4,2020,2020/03/09 6:53 AM,1,1,1
193,4,2020,2020/03/08 6:37 AM,1,1,1
194,4,2020,2020/03/07 6:21 AM,1,1,1
195,4,2020,2020/03/06 7:14 AM,1,1,1
196,4,2020,2020/03/05 7:00 AM,2,2,2
197,4,2020,2020/03/04 7:12 AM,2,2,2
198,4,2020,2020/03/03 6:59 AM,2,2,2
199,4,2020,2020/03/02 7:03 AM,2,2,2
200,4,2020,2020/03/01 6:47 AM,2,2,1
201,4,2020,2020/02/29 6:34 AM,2,2,1
202,4,2020,2020/02/28 6:19 AM,2,2,1
203,4,2020,2020/02/27 6:38 AM,2,2,2
204,4,2020,2020/02/26 6:51 AM,2,2,2
205,4,2020,2020/02/25 6:35 AM,3,3,2
206,4,2020,2020/02/24 6:32 AM,3,3,2
207,4,2020,2020/02/23 6:44 AM,2,2,2
208,4,2020,2020/02/22 7:16 AM,2,2,2
209,4,2020,2020/02/21 7:27 AM,2,2,2
210,4,2020,2020/02/20 6:47 AM,2,2,2
211,4,2020,2020/02/19 6:51 AM,2,2,2
212,4,2020,2020/02/18 6:31 AM,2,2,2
213,4,2020,2020/02/17 6:55 AM,3,3,2
214,4,2020,2020/02/16 7:00 AM,2,2,2
215,4,2020,2020/02/15 6:56 AM,2,2,2
216,4,2020,2020/02/14 7:12 AM,2,2,2
217,4,2020,2020/02/13 6:03 AM,2,2,2
218,4,2020,2020/02/12 6:43 AM,2,2,2
219,4,2020,2020/02/11 6:50 AM,2,2,2
220,4,2020,2020/02/10 6:55 AM,2,2,2
221,4,2020,2020/02/09 7:00 AM,3,3,3
222,4,2020,2020/02/08 6:59 AM,4,4,3
223,4,2020,2020/02/07 7:18 AM,4,4,4
224,4,2020,2020/02/06 7:22 AM,3,3,2
225,4,2020,2020/02/05 6:53 AM,2,2,1
226,4,2020,2020/02/04 7:15 AM,2,2,1
227,4,2020,2020/02/03 7:02 AM,2,2,1
228,4,2020,2020/02/02 6:49 AM,2,2,1
229,4,2020,2020/02/01 6:54 AM,2,2,2
230,4,2020,2020/01/31 7:17 AM,2,2,2
231,4,2020,2020/01/30 6:57 AM,2,2,2
232,4,2020,2020/01/29 7:17 AM,2,2,2
233,4,2020,2020/01/28 7:07 AM,2,2,2
234,4,2020,2020/01/27 6:34 AM,2,2,2
235,4,2020,2020/01/26 6:52 AM,2,2,2
236,4,2020,2020/01/25 7:25 AM,2,2,2
237,4,2020,2020/01/24 7:23 AM,3,3,2
238,4,2020,2020/01/23 7:07 AM,3,3,2
239,4,2020,2020/01/22 6:59 AM,2,2,2
240,4,2020,2020/01/21 6:57 AM,2,2,2
241,4,2020,2020/01/20 5:49 AM,2,2,2
242,4,2020,2020/01/19 6:37 AM,2,2,2
243,4,2020,2020/01/18 7:33 AM,3,3,3
244,4,2020,2020/01/17 7:00 AM,2,2,2
245,4,2020,2020/01/16 6:21 AM,2,2,2
246,4,2020,2020/01/15 6:57 AM,3,3,2
247,4,2020,2020/01/14 6:48 AM,3,3,2
248,4,2020,2020/01/13 7:14 AM,3,3,2
249,4,2020,2020/01/12 7:02 AM,2,2,1
250,4,2020,2020/01/11 7:38 AM,2,2,1
251,4,2020,2020/01/10 6:48 AM,2,2,1
252,4,2020,2020/01/09 7:07 AM,2,2,1
253,4,2020,2020/01/08 6:43 AM,2,2,1
254,4,2020,2020/01/07 6:30 AM,2,2,1
255,4,2020,2020/01/06 6:56 AM,2,2,2
256,4,2020,2020/01/05 6:55 AM,2,2,2
257,4,2020,2020/01/04 6:36 AM,2,2,2
258,4,2020,2020/01/03 7:03 AM,3,2,2
259,4,2020,2020/01/02 7:14 AM,3,3,2
260,4,2020,2020/01/01 7:08 AM,2,2,1
261,4,2019,2019/12/31 6:55 AM,2,2,1
262,4,2019,2019/12/30 6:56 AM,2,2,2
263,4,2019,2019/12/29 6:53 AM,2,2,2
264,4,2019,2019/12/28 7:30 AM,2,2,2
265,4,2019,2019/12/27 7:03 AM,2,2,1
266,4,2019,2019/12/26 6:53 AM,2,2,1
267,4,2019,2019/12/25 6:59 AM,2,2,2
268,4,2019,2019/12/24 6:38 AM,2,2,2
269,4,2019,2019/12/23 6:29 AM,2,2,2
270,4,2019,2019/12/22 6:44 AM,2,2,2
271,4,2019,2019/12/21 6:54 AM,2,2,2
272,4,2019,2019/12/20 6:46 AM,2,2,2
273,4,2019,2019/12/19 7:02 AM,2,2,2
274,4,2019,2019/12/18 7:12 AM,2,2,2
275,4,2019,2019/12/17 6:10 AM,3,3,3
276,4,2019,2019/12/16 6:32 AM,3,3,3
277,4,2019,2019/12/15 6:56 AM,3,3,3
278,4,2019,2019/12/14 6:30 AM,4,4,4
279,4,2019,2019/12/13 7:31 AM,4,4,4
280,4,2019,2019/12/12 7:37 AM,2,2,2
281,4,2019,2019/12/11 7:15 AM,3,3,2
282,4,2019,2019/12/10 7:11 AM,3,3,3
283,4,2019,2019/12/09 6:56 AM,3,3,3
284,4,2019,2019/12/08 6:59 AM,3,3,3
285,4,2019,2019/12/07 7:20 AM,2,2,2
286,4,2019,2019/12/06 6:42 AM,3,3,3
287,4,2019,2019/12/05 7:18 AM,3,3,3
288,4,2019,2019/12/04 6:57 AM,2,2,2
289,4,2019,2019/12/03 6:50 AM,2,2,2
290,4,2019,2019/12/02 7:13 AM,3,3,2
291,4,2019,2019/12/01 6:57 AM,3,3,2
292,4,2019,2019/11/30 6:55 AM,3,3,2
293,4,2019,2019/11/29 7:17 AM,2,2,1
294,4,2019,2019/11/28 6:56 AM,2,2,1
295,4,2019,2019/11/27 7:10 AM,3,3,1
296,4,2019,2019/11/26 7:46 AM,3,3,1
297,4,2019,2019/11/25 7:37 AM,2,2,1
298,4,2019,2019/11/24 5:40 PM,2,2,1
299,4,2019,2019/11/07 7:30 AM,4,4,4
300,4,2019,2019/11/06 5:41 AM,2,1,1
301,4,2019,2019/11/05 7:36 PM,1,1,1
302,4,2019,2019/07/11 9:37 AM,0,0,0
303,4,2019,2019/05/01 6:04 AM,2,2,2
304,4,2019,2019/04/30 6:22 AM,3,3,2
305,4,2019,2019/04/29 7:29 AM,2,2,2
306,4,2019,2019/04/28 6:59 AM,1,2,2
307,4,2019,2019/04/27 6:49 AM,2,2,2
308,4,2019,2019/04/26 6:32 AM,2,2,2
309,4,2019,2019/04/25 6:44 AM,2,2,2
310,4,2019,2019/04/24 6:56 AM,1,2,2
311,4,2019,2019/04/23 6:11 AM,1,1,1
312,4,2019,2019/04/22 6:49 AM,1,1,1
313,4,2019,2019/04/21 6:56 AM,1,2,2
314,4,2019,2019/04/20 7:15 AM,1,2,2
315,4,2019,2019/04/19 6:20 AM,1,1,1
316,4,2019,2019/04/18 6:20 AM,1,1,1
317,4,2019,2019/04/17 6:16 AM,1,1,1
318,4,2019,2019/04/16 6:39 AM,1,2,2
319,4,2019,2019/04/15 7:06 AM,2,2,2
320,4,2019,2019/04/14 6:59 AM,1,2,2
321,4,2019,2019/04/13 7:13 AM,2,1,1
322,4,2019,2019/04/12 7:25 AM,2,2,1
323,4,2019,2019/04/11 7:01 AM,3,3,2
324,4,2019,2019/04/10 7:20 AM,3,2,1
325,4,2019,2019/04/09 7:20 AM,1,2,2
326,4,2019,2019/04/08 6:44 AM,1,2,2
327,4,2019,2019/04/07 6:48 AM,1,1,1
328,4,2019,2019/04/06 6:29 AM,1,1,1
329,4,2019,2019/04/05 6:23 AM,1,1,1
330,4,2019,2019/04/04 6:49 AM,2,1,1
331,4,2019,2019/04/03 7:03 AM,2,1,1
332,4,2019,2019/04/02 6:33 AM,1,1,1
333,4,2019,2019/04/01 6:29 AM,1,1,1
334,4,2019,2019/03/31 6:31 AM,1,1,1
335,4,2019,2019/03/30 6:33 AM,1,1,1
336,4,2019,2019/03/29 7:04 AM,1,1,1
337,4,2019,2019/03/28 6:39 AM,1,2,2
338,4,2019,2019/03/27 7:01 AM,2,2,2
339,4,2019,2019/03/26 6:47 AM,2,2,2
340,4,2019,2019/03/25 7:00 AM,1,2,2
341,4,2019,2019/03/24 7:13 AM,1,1,1
342,4,2019,2019/03/23 6:34 AM,2,2,1
343,4,2019,2019/03/22 6:41 AM,2,2,1
344,4,2019,2019/03/21 7:13 AM,2,2,1
345,4,2019,2019/03/20 6:33 AM,2,2,2
346,4,2019,2019/03/19 6:57 AM,2,2,2
347,4,2019,2019/03/18 7:15 AM,2,2,2
348,4,2019,2019/03/17 6:48 AM,2,2,2
349,4,2019,2019/03/16 7:40 AM,3,3,2
350,4,2019,2019/03/15 6:57 AM,3,3,3
351,4,2019,2019/03/14 7:06 AM,3,3,3
352,4,2019,2019/03/13 6:34 AM,4,4,4
353,4,2019,2019/03/12 7:42 AM,3,3,3
354,4,2019,2019/03/11 7:23 AM,3,3,3
355,4,2019,2019/03/10 7:28 AM,4,4,4
356,4,2019,2019/03/09 7:13 AM,4,4,4
357,4,2019,2019/03/08 6:58 AM,4,4,4
358,4,2019,2019/03/07 7:26 AM,5,5,5
359,4,2019,2019/03/06 7:37 AM,3,3,3
360,4,2019,2019/03/05 7:29 AM,3,3,3
361,4,2019,2019/03/04 7:07 AM,4,4,3
362,4,2019,2019/03/03 7:11 AM,4,4,3
363,4,2019,2019/03/02 7:21 AM,4,3,3
364,4,2019,2019/03/01 7:03 AM,3,3,2
365,4,2019,2019/02/28 7:19 AM,2,2,1
366,4,2019,2019/02/27 7:03 AM,2,2,1
367,4,2019,2019/02/26 7:04 AM,2,2,2
368,4,2019,2019/02/25 7:11 AM,2,2,2
369,4,2019,2019/02/24 6:51 AM,2,2,2
370,4,2019,2019/02/23 7:34 AM,2,2,2
371,4,2019,2019/02/22 7:04 AM,2,2,2
372,4,2019,2019/02/21 7:09 AM,2,2,2
373,4,2019,2019/02/20 6:53 AM,2,2,2
374,4,2019,2019/02/19 6:20 AM,2,2,2
375,4,2019,2019/02/18 7:23 AM,3,3,2
376,4,2019,2019/02/17 7:06 AM,3,3,2
377,4,2019,2019/02/16 7:35 AM,3,3,2
378,4,2019,2019/02/15 7:17 AM,3,3,3
379,4,2019,2019/02/14 7:12 AM,3,2,2
380,4,2019,2019/02/13 7:33 AM,2,2,2
381,4,2019,2019/02/12 7:08 AM,2,2,2
382,4,2019,2019/02/11 7:01 AM,2,2,2
383,4,2019,2019/02/10 7:09 AM,2,2,2
384,4,2019,2019/02/09 6:33 AM,3,2,2
385,4,2019,2019/02/08 7:22 AM,3,3,3
386,4,2019,2019/02/07 6:30 AM,3,3,3
387,4,2019,2019/02/06 7:18 AM,4,4,4
388,4,2019,2019/02/05 7:44 AM,3,3,3
389,4,2019,2019/02/04 6:56 AM,3,3,2
390,4,2019,2019/02/03 6:50 AM,3,3,3
391,4,2019,2019/02/02 7:19 AM,2,2,2
392,4,2019,2019/02/01 7:22 AM,2,2,2
393,4,2019,2019/01/31 6:45 AM,2,2,2
394,4,2019,2019/01/30 6:43 AM,2,2,2
395,4,2019,2019/01/29 7:19 AM,2,2,2
396,4,2019,2019/01/28 7:11 AM,2,2,2
397,4,2019,2019/01/27 7:13 AM,3,3,2
398,4,2019,2019/01/26 7:11 AM,3,3,2
399,4,2019,2019/01/25 7:18 AM,3,3,2
400,4,2019,2019/01/24 7:26 AM,3,3,2
401,4,2019,2019/01/23 6:41 AM,3,3,3
402,4,2019,2019/01/22 7:18 AM,3,3,3
403,4,2019,2019/01/21 6:48 AM,3,3,2
404,4,2019,2019/01/20 7:07 AM,3,3,3
405,4,2019,2019/01/19 7:14 AM,3,3,3
406,4,2019,2019/01/18 7:00 AM,4,4,4
407,4,2019,2019/01/17 7:24 AM,3,3,3
408,4,2019,2019/01/16 7:26 AM,4,4,4
409,4,2019,2019/01/15 7:18 AM,2,2,2
410,4,2019,2019/01/14 6:31 AM,2,2,2
411,4,2019,2019/01/13 6:33 AM,2,2,2
412,4,2019,2019/01/12 7:29 AM,2,2,2
413,4,2019,2019/01/11 7:29 AM,2,2,2
