,Zone,Year,Date,Above Danger,Near Danger,Below Danger
0,1,2021,2021/04/11 6:31 AM,1,1,1
1,1,2021,2021/04/10 5:49 AM,1,1,1
2,1,2021,2021/04/09 6:07 AM,1,1,1
3,1,2021,2021/04/08 6:43 AM,1,1,2
4,1,2021,2021/04/07 6:52 AM,1,1,2
5,1,2021,2021/04/06 6:57 AM,2,2,2
6,1,2021,2021/04/05 6:18 AM,2,3,3
7,1,2021,2021/04/04 6:17 AM,3,3,3
8,1,2021,2021/04/03 6:42 AM,2,2,2
9,1,2021,2021/04/02 7:11 AM,2,2,2
10,1,2021,2021/04/01 6:50 AM,2,2,1
11,1,2021,2021/03/31 7:15 AM,2,2,1
12,1,2021,2021/03/30 6:17 AM,2,2,1
13,1,2021,2021/03/29 6:14 AM,3,2,2
14,1,2021,2021/03/28 6:27 AM,2,2,2
15,1,2021,2021/03/27 7:12 AM,2,2,2
16,1,2021,2021/03/26 7:01 AM,2,2,2
17,1,2021,2021/03/25 7:47 AM,2,2,2
18,1,2021,2021/03/24 7:19 AM,2,2,1
19,1,2021,2021/03/23 6:47 AM,2,2,1
20,1,2021,2021/03/22 7:00 AM,2,2,2
21,1,2021,2021/03/21 6:51 AM,2,1,1
22,1,2021,2021/03/20 7:06 AM,1,2,2
23,1,2021,2021/03/19 6:26 AM,2,2,2
24,1,2021,2021/03/18 7:11 AM,2,2,2
25,1,2021,2021/03/17 6:57 AM,2,2,2
26,1,2021,2021/03/16 7:22 AM,3,3,3
27,1,2021,2021/03/15 6:46 AM,3,3,3
28,1,2021,2021/03/14 6:58 AM,4,4,4
29,1,2021,2021/03/13 7:24 AM,3,3,3
30,1,2021,2021/03/12 7:03 AM,1,1,1
31,1,2021,2021/03/11 6:36 AM,2,2,1
32,1,2021,2021/03/10 7:21 AM,2,2,1
33,1,2021,2021/03/09 7:08 AM,2,2,1
34,1,2021,2021/03/08 6:49 AM,2,2,2
35,1,2021,2021/03/07 6:35 AM,2,2,2
36,1,2021,2021/03/06 7:02 AM,2,2,1
37,1,2021,2021/03/05 6:23 AM,2,2,2
38,1,2021,2021/03/04 6:50 AM,2,2,2
39,1,2021,2021/03/03 6:33 AM,2,2,1
40,1,2021,2021/03/02 6:55 AM,2,2,1
41,1,2021,2021/03/01 7:08 AM,2,2,1
42,1,2021,2021/02/28 6:51 AM,2,2,2
43,1,2021,2021/02/27 6:21 AM,2,2,2
44,1,2021,2021/02/26 6:47 AM,2,2,2
45,1,2021,2021/02/25 6:54 AM,2,2,2
46,1,2021,2021/02/24 7:08 AM,2,2,2
47,1,2021,2021/02/23 6:55 AM,2,2,2
48,1,2021,2021/02/22 6:58 AM,3,2,2
49,1,2021,2021/02/21 6:50 AM,3,3,2
50,1,2021,2021/02/20 7:19 AM,3,3,2
51,1,2021,2021/02/19 6:50 AM,3,3,2
52,1,2021,2021/02/18 6:29 AM,3,3,3
53,1,2021,2021/02/17 6:19 AM,3,3,3
54,1,2021,2021/02/16 6:54 AM,3,3,3
55,1,2021,2021/02/15 6:59 AM,3,3,3
56,1,2021,2021/02/14 6:53 AM,3,3,3
57,1,2021,2021/02/13 7:15 AM,3,3,3
