,Zone,Year,Date,Above Danger,Near Danger,Below Danger
0,7,2021,2021/04/12 6:28 AM,1,1,1
1,7,2021,2021/04/11 6:01 AM,1,1,1
2,7,2021,2021/04/10 6:40 AM,1,1,1
3,7,2021,2021/04/09 6:41 AM,1,2,2
4,7,2021,2021/04/08 6:48 AM,1,2,2
5,7,2021,2021/04/07 7:00 AM,1,1,2
6,7,2021,2021/04/06 6:56 AM,2,3,3
7,7,2021,2021/04/05 7:12 AM,3,3,3
8,7,2021,2021/04/04 6:22 AM,3,3,3
9,7,2021,2021/04/03 7:06 AM,2,3,3
10,7,2021,2021/04/02 7:30 AM,2,2,2
11,7,2021,2021/04/01 6:46 AM,1,1,1
12,7,2021,2021/03/31 7:02 AM,1,1,1
13,7,2021,2021/03/30 6:55 AM,2,2,1
14,7,2021,2021/03/29 6:52 AM,2,2,2
15,7,2021,2021/03/28 6:35 AM,2,2,2
16,7,2021,2021/03/27 7:28 AM,3,3,2
17,7,2021,2021/03/26 7:21 AM,3,3,3
18,7,2021,2021/03/25 7:08 AM,2,2,2
19,7,2021,2021/03/24 7:44 AM,2,2,1
20,7,2021,2021/03/23 7:16 AM,1,1,1
21,7,2021,2021/03/22 7:15 AM,2,1,1
22,7,2021,2021/03/21 7:00 AM,2,1,1
23,7,2021,2021/03/20 7:11 AM,1,2,2
24,7,2021,2021/03/19 7:07 AM,2,2,2
25,7,2021,2021/03/18 7:06 AM,2,2,2
26,7,2021,2021/03/17 6:52 AM,2,2,1
27,7,2021,2021/03/16 6:40 AM,3,3,2
28,7,2021,2021/03/15 7:08 AM,3,3,2
29,7,2021,2021/03/14 6:41 AM,3,3,2
30,7,2021,2021/03/13 7:32 AM,2,2,2
31,7,2021,2021/03/12 7:32 AM,2,2,1
32,7,2021,2021/03/11 6:47 AM,2,2,1
33,7,2021,2021/03/10 7:33 AM,2,2,1
34,7,2021,2021/03/09 6:59 AM,2,2,1
35,7,2021,2021/03/08 7:22 AM,2,2,2
36,7,2021,2021/03/07 6:27 AM,2,2,1
37,7,2021,2021/03/06 7:13 AM,2,2,2
38,7,2021,2021/03/05 7:06 AM,3,3,2
39,7,2021,2021/03/04 7:05 AM,3,3,2
40,7,2021,2021/03/03 6:31 AM,2,2,2
41,7,2021,2021/03/02 6:50 AM,2,2,2
42,7,2021,2021/03/01 6:49 AM,2,2,2
43,7,2021,2021/02/28 6:05 AM,2,2,2
44,7,2021,2021/02/27 7:03 AM,2,2,2
45,7,2021,2021/02/26 6:55 AM,2,2,2
46,7,2021,2021/02/25 6:22 AM,2,2,2
47,7,2021,2021/02/24 7:03 AM,2,2,2
48,7,2021,2021/02/23 6:50 AM,3,3,2
49,7,2021,2021/02/22 6:47 AM,3,3,2
50,7,2021,2021/02/21 6:26 AM,3,3,2
51,7,2021,2021/02/20 7:27 AM,3,3,2
52,7,2021,2021/02/19 7:25 AM,3,3,2
53,7,2021,2021/02/18 6:33 AM,3,3,2
54,7,2021,2021/02/17 6:23 AM,3,3,3
55,7,2021,2021/02/16 7:02 AM,4,4,4
56,7,2021,2021/02/15 6:45 AM,3,3,2
57,7,2021,2021/02/14 6:54 AM,3,3,3
58,7,2021,2021/02/13 7:36 AM,3,3,2
59,7,2021,2021/02/12 7:39 AM,3,2,2
60,7,2021,2021/02/11 6:51 AM,3,2,2
61,7,2021,2021/02/10 7:43 AM,3,2,2
62,7,2021,2021/02/09 6:22 AM,3,2,2
63,7,2021,2021/02/08 7:04 AM,3,2,2
64,7,2021,2021/02/07 6:58 AM,3,2,2
65,7,2021,2021/02/06 7:23 AM,3,2,2
66,7,2021,2021/02/05 7:32 AM,3,3,2
67,7,2021,2021/02/04 6:49 AM,3,3,2
68,7,2021,2021/02/03 7:05 AM,3,3,2
69,7,2021,2021/02/02 7:20 AM,3,3,2
70,7,2021,2021/02/01 7:06 AM,3,3,2
71,7,2021,2021/01/31 6:42 AM,3,3,3
72,7,2021,2021/01/30 6:41 AM,3,3,3
73,7,2021,2021/01/29 7:24 AM,3,3,2
74,7,2021,2021/01/28 6:52 AM,3,3,3
75,7,2021,2021/01/27 7:05 AM,3,3,3
76,7,2021,2021/01/26 7:17 AM,3,3,3
77,7,2021,2021/01/25 6:42 AM,3,3,3
78,7,2021,2021/01/24 6:41 AM,3,3,2
79,7,2021,2021/01/23 7:26 AM,3,3,2
80,7,2021,2021/01/22 7:31 AM,2,2,1
81,7,2021,2021/01/21 6:55 AM,2,2,1
82,7,2021,2021/01/20 7:13 AM,2,2,1
83,7,2021,2021/01/19 7:28 AM,2,2,2
84,7,2021,2021/01/18 7:01 AM,2,2,1
85,7,2021,2021/01/17 7:07 AM,2,2,2
86,7,2021,2021/01/16 7:05 AM,2,2,2
87,7,2021,2021/01/15 7:23 AM,2,2,2
88,7,2021,2021/01/14 7:04 AM,2,2,2
89,7,2021,2021/01/13 7:05 AM,2,2,2
90,7,2021,2021/01/12 6:53 AM,2,2,2
91,7,2021,2021/01/11 7:15 AM,2,2,2
92,7,2021,2021/01/10 6:13 AM,2,2,2
93,7,2021,2021/01/09 7:11 AM,2,2,2
94,7,2021,2021/01/08 7:04 AM,2,2,2
95,7,2021,2021/01/07 7:20 AM,2,2,2
96,7,2021,2021/01/06 7:13 AM,2,2,2
97,7,2021,2021/01/05 6:41 AM,2,2,2
98,7,2021,2021/01/04 7:07 AM,2,2,2
99,7,2021,2021/01/03 6:50 AM,3,3,2
100,7,2021,2021/01/02 7:24 AM,3,3,2
101,7,2021,2021/01/01 7:27 AM,3,3,3
102,7,2020,2020/12/31 7:01 AM,3,3,3
103,7,2020,2020/12/30 7:19 AM,3,3,3
104,7,2020,2020/12/29 7:21 AM,4,4,4
105,7,2020,2020/12/28 7:53 AM,3,3,3
106,7,2020,2020/12/27 6:46 AM,2,3,2
107,7,2020,2020/12/26 7:27 AM,2,3,2
108,7,2020,2020/12/25 7:33 AM,3,3,2
109,7,2020,2020/12/24 7:04 AM,3,3,2
110,7,2020,2020/12/23 7:47 AM,3,3,3
111,7,2020,2020/12/22 7:02 AM,3,3,3
