,Zone,Year,Date,Above Danger,Near Danger,Below Danger
0,0,2021,2021/04/12 6:32 AM,1,1,1
1,0,2021,2021/04/11 6:30 AM,1,1,1
2,0,2021,2021/04/10 6:00 AM,1,1,1
3,0,2021,2021/04/09 6:10 AM,1,1,1
4,0,2021,2021/04/08 6:31 AM,1,1,2
5,0,2021,2021/04/07 7:05 AM,1,1,2
6,0,2021,2021/04/06 7:11 AM,2,2,2
7,0,2021,2021/04/05 6:23 AM,2,3,3
8,0,2021,2021/04/04 6:43 AM,3,3,3
9,0,2021,2021/04/03 6:46 AM,2,2,2
10,0,2021,2021/04/02 6:44 AM,2,2,2
11,0,2021,2021/04/01 6:26 AM,1,1,1
12,0,2021,2021/03/31 6:45 AM,1,1,1
13,0,2021,2021/03/30 6:32 AM,2,2,1
14,0,2021,2021/03/29 6:42 AM,2,2,1
15,0,2021,2021/03/28 6:24 AM,1,1,1
16,0,2021,2021/03/27 6:38 AM,1,1,2
17,0,2021,2021/03/26 6:56 AM,1,1,1
18,0,2021,2021/03/25 7:11 AM,1,1,1
19,0,2021,2021/03/24 7:25 AM,1,1,1
20,0,2021,2021/03/23 7:06 AM,1,1,1
21,0,2021,2021/03/22 7:20 AM,2,1,1
22,0,2021,2021/03/21 7:15 AM,2,1,1
23,0,2021,2021/03/20 6:50 AM,1,2,2
24,0,2021,2021/03/19 6:28 AM,2,2,2
25,0,2021,2021/03/18 6:58 AM,1,2,2
26,0,2021,2021/03/17 6:36 AM,1,1,1
27,0,2021,2021/03/16 7:07 AM,2,2,2
28,0,2021,2021/03/15 7:13 AM,3,3,2
29,0,2021,2021/03/14 7:01 AM,3,3,3
30,0,2021,2021/03/13 7:35 AM,2,2,2
31,0,2021,2021/03/12 7:07 AM,1,1,1
32,0,2021,2021/03/11 6:48 AM,2,2,1
33,0,2021,2021/03/10 7:44 AM,2,2,1
34,0,2021,2021/03/09 6:55 AM,1,1,1
35,0,2021,2021/03/08 7:05 AM,1,1,2
36,0,2021,2021/03/07 6:52 AM,2,2,2
37,0,2021,2021/03/06 6:40 AM,2,2,1
38,0,2021,2021/03/05 6:37 AM,2,2,2
39,0,2021,2021/03/04 6:52 AM,2,2,2
40,0,2021,2021/03/03 6:20 AM,2,2,1
41,0,2021,2021/03/02 6:49 AM,2,2,2
42,0,2021,2021/03/01 7:02 AM,2,2,2
43,0,2021,2021/02/28 7:03 AM,3,3,3
44,0,2021,2021/02/27 6:32 AM,3,3,3
45,0,2021,2021/02/26 6:36 AM,2,2,2
46,0,2021,2021/02/25 6:47 AM,2,2,2
47,0,2021,2021/02/24 7:02 AM,2,2,2
48,0,2021,2021/02/23 7:13 AM,2,2,2
49,0,2021,2021/02/22 7:14 AM,3,2,2
50,0,2021,2021/02/21 7:07 AM,3,3,2
51,0,2021,2021/02/20 7:17 AM,3,3,2
52,0,2021,2021/02/19 6:52 AM,3,3,2
53,0,2021,2021/02/18 6:41 AM,3,3,3
54,0,2021,2021/02/17 6:15 AM,3,3,3
55,0,2021,2021/02/16 6:50 AM,3,3,3
56,0,2021,2021/02/15 7:08 AM,3,3,3
57,0,2021,2021/02/14 6:45 AM,3,3,3
58,0,2021,2021/02/13 7:00 AM,4,4,4
59,0,2021,2021/02/12 7:25 AM,3,3,3
60,0,2021,2021/02/11 7:00 AM,2,2,2
61,0,2021,2021/02/10 7:06 AM,3,3,3
62,0,2021,2021/02/09 7:02 AM,3,3,3
63,0,2021,2021/02/08 6:55 AM,3,3,3
64,0,2021,2021/02/07 6:40 AM,4,4,4
65,0,2021,2021/02/06 6:42 AM,4,4,4
66,0,2021,2021/02/05 7:04 AM,4,4,4
67,0,2021,2021/02/04 7:02 AM,3,3,3
68,0,2021,2021/02/03 7:23 AM,3,3,3
69,0,2021,2021/02/02 7:26 AM,2,2,2
70,0,2021,2021/02/01 7:20 AM,2,2,2
71,0,2021,2021/01/31 6:58 AM,3,3,3
72,0,2021,2021/01/30 7:09 AM,2,2,2
73,0,2021,2021/01/29 6:38 AM,2,2,2
74,0,2021,2021/01/28 6:47 AM,2,2,2
75,0,2021,2021/01/27 7:29 AM,3,2,2
76,0,2021,2021/01/26 6:58 AM,2,2,2
77,0,2021,2021/01/25 6:37 AM,3,3,3
78,0,2021,2021/01/24 7:03 AM,3,3,3
79,0,2021,2021/01/23 7:17 AM,3,3,3
80,0,2021,2021/01/22 7:09 AM,2,2,2
81,0,2021,2021/01/21 6:26 AM,2,2,1
82,0,2021,2021/01/20 7:16 AM,2,2,2
83,0,2021,2021/01/19 7:48 AM,2,2,2
84,0,2021,2021/01/18 7:28 AM,3,3,2
85,0,2021,2021/01/17 6:48 AM,2,2,2
86,0,2021,2021/01/16 6:43 AM,2,2,2
87,0,2021,2021/01/15 6:46 AM,2,2,2
88,0,2021,2021/01/14 6:25 AM,2,2,2
89,0,2021,2021/01/13 6:13 AM,2,2,2
90,0,2021,2021/01/12 6:58 AM,2,2,2
91,0,2021,2021/01/11 6:34 AM,2,2,2
92,0,2021,2021/01/10 6:18 AM,2,2,2
93,0,2021,2021/01/09 7:04 AM,2,2,2
94,0,2021,2021/01/08 6:49 AM,2,2,2
95,0,2021,2021/01/07 7:14 AM,3,3,3
96,0,2021,2021/01/06 7:10 AM,3,3,3
97,0,2021,2021/01/05 6:17 AM,3,3,3
98,0,2021,2021/01/04 6:40 AM,2,2,2
99,0,2021,2021/01/03 7:10 AM,2,2,2
100,0,2021,2021/01/02 6:39 AM,2,2,2
101,0,2021,2021/01/01 6:45 AM,2,2,2
102,0,2020,2020/12/31 6:18 AM,3,3,2
103,0,2020,2020/12/30 6:47 AM,3,3,3
104,0,2020,2020/12/29 6:57 AM,3,3,3
105,0,2020,2020/12/28 7:41 AM,2,2,2
106,0,2020,2020/12/27 7:20 AM,2,2,2
107,0,2020,2020/12/26 7:04 AM,2,2,2
108,0,2020,2020/12/25 7:00 AM,2,2,2
109,0,2020,2020/12/24 6:53 AM,3,3,2
110,0,2020,2020/12/23 7:31 AM,3,3,2
111,0,2020,2020/12/22 6:57 AM,3,3,2
112,0,2020,2020/12/21 7:29 AM,3,3,2
113,0,2020,2020/12/20 6:51 AM,3,3,2
114,0,2020,2020/12/19 7:01 AM,3,3,2
115,0,2020,2020/12/18 6:34 AM,2,2,2
116,0,2020,2020/12/17 7:05 AM,2,2,2
117,0,2020,2020/12/16 7:04 AM,2,2,2
118,0,2020,2020/12/15 7:14 AM,2,2,2
119,0,2020,2020/12/14 6:54 AM,2,2,2
120,0,2020,2020/12/13 6:41 AM,2,2,2
121,0,2020,2020/12/12 7:00 AM,2,2,2
122,0,2020,2020/12/11 7:22 AM,1,1,1
123,0,2020,2020/12/10 6:33 AM,1,1,1
124,0,2020,2020/12/09 6:15 AM,1,1,1
125,0,2020,2020/12/08 6:11 AM,1,1,1
126,0,2020,2020/12/07 5:33 AM,1,1,1
127,0,2020,2020/12/06 6:08 AM,1,1,1
128,0,2020,2020/12/05 6:38 AM,1,1,1
129,0,2020,2020/12/04 6:02 AM,1,1,1
130,0,2020,2020/12/03 6:47 AM,1,1,1
131,0,2020,2020/12/02 7:02 AM,1,1,1
132,0,2020,2020/12/01 6:49 AM,1,1,1
133,0,2020,2020/11/30 6:58 AM,1,1,1
134,0,2020,2020/11/29 6:28 AM,1,1,1
135,0,2020,2020/11/28 6:35 AM,1,1,1
136,0,2020,2020/11/27 6:13 AM,1,1,1
137,0,2020,2020/11/26 6:45 AM,1,1,1
138,0,2020,2020/11/25 6:51 AM,1,1,1
139,0,2020,2020/11/24 6:59 AM,1,1,1
140,0,2020,2020/11/23 6:35 AM,1,1,1
141,0,2020,2020/11/22 6:43 AM,1,1,1
142,0,2020,2020/11/21 6:47 AM,1,1,1
143,0,2020,2020/11/20 6:46 AM,1,1,1
144,0,2020,2020/11/19 6:55 AM,1,1,1
145,0,2020,2020/11/18 7:07 AM,1,1,1
146,0,2020,2020/11/17 7:08 AM,2,2,1
147,0,2020,2020/11/16 6:51 AM,2,2,1
148,0,2020,2020/11/15 6:51 AM,2,2,1
149,0,2020,2020/11/14 6:34 AM,2,2,1
150,0,2020,2020/11/13 6:38 AM,1,1,1
151,0,2020,2020/10/30 7:59 AM,2,2,2
152,0,2020,2020/10/24 4:39 PM,2,2,2
153,0,2020,2020/10/23 10:54 AM,0,0,0
154,0,2020,2020/10/11 4:36 PM,0,0,0
155,0,2020,2020/09/11 2:14 PM,0,0,0
156,0,2020,2020/08/14 4:28 PM,2,2,2
157,0,2020,2020/06/03 12:49 PM,0,0,0
158,0,2020,2020/05/30 3:08 PM,0,0,0
159,0,2020,2020/04/12 6:55 AM,2,2,2
160,0,2020,2020/04/11 6:26 AM,2,2,2
161,0,2020,2020/04/10 6:39 AM,2,2,2
162,0,2020,2020/04/09 7:06 AM,2,2,2
163,0,2020,2020/04/08 6:39 AM,2,2,2
164,0,2020,2020/04/07 6:54 AM,2,2,2
165,0,2020,2020/04/06 6:51 AM,1,2,2
166,0,2020,2020/04/05 7:10 AM,1,1,1
167,0,2020,2020/04/04 6:50 AM,2,2,2
168,0,2020,2020/04/03 7:00 AM,2,2,2
169,0,2020,2020/04/02 6:49 AM,2,2,1
170,0,2020,2020/04/01 6:31 AM,1,1,1
171,0,2020,2020/03/31 6:55 AM,2,2,1
172,0,2020,2020/03/30 6:55 AM,2,2,1
173,0,2020,2020/03/29 6:17 AM,1,1,1
174,0,2020,2020/03/28 6:44 AM,2,2,1
175,0,2020,2020/03/27 6:43 AM,2,2,1
176,0,2020,2020/03/26 7:47 AM,2,2,1
177,0,2020,2020/03/25 6:31 AM,2,2,1
178,0,2020,2020/03/24 6:27 AM,2,2,1
179,0,2020,2020/03/23 6:35 AM,2,2,1
180,0,2020,2020/03/22 7:05 AM,2,2,2
181,0,2020,2020/03/21 6:50 AM,2,2,2
182,0,2020,2020/03/20 6:47 AM,3,3,3
183,0,2020,2020/03/19 6:27 AM,3,3,3
184,0,2020,2020/03/18 6:03 AM,1,1,2
185,0,2020,2020/03/17 7:04 AM,1,2,2
186,0,2020,2020/03/16 6:38 AM,2,2,2
187,0,2020,2020/03/15 6:53 AM,2,2,2
188,0,2020,2020/03/14 6:52 AM,2,2,2
189,0,2020,2020/03/13 6:14 AM,2,2,2
190,0,2020,2020/03/12 7:09 AM,2,2,2
191,0,2020,2020/03/11 6:55 AM,2,2,1
192,0,2020,2020/03/10 7:00 AM,1,1,2
193,0,2020,2020/03/09 5:55 AM,1,1,1
194,0,2020,2020/03/08 6:33 AM,1,1,1
195,0,2020,2020/03/07 6:24 AM,1,1,1
196,0,2020,2020/03/06 6:20 AM,1,1,1
197,0,2020,2020/03/05 6:46 AM,1,1,1
198,0,2020,2020/03/04 7:13 AM,1,1,1
199,0,2020,2020/03/03 7:03 AM,1,1,1
200,0,2020,2020/03/02 7:29 AM,1,1,1
201,0,2020,2020/03/01 6:37 AM,1,1,1
202,0,2020,2020/02/29 6:30 AM,1,1,1
203,0,2020,2020/02/28 6:38 AM,1,1,1
204,0,2020,2020/02/27 6:32 AM,1,1,1
205,0,2020,2020/02/26 6:28 AM,1,1,1
206,0,2020,2020/02/25 6:21 AM,2,2,1
207,0,2020,2020/02/24 7:02 AM,2,2,1
208,0,2020,2020/02/23 6:36 AM,1,1,1
209,0,2020,2020/02/22 6:24 AM,1,1,1
210,0,2020,2020/02/21 6:43 AM,1,1,1
211,0,2020,2020/02/20 6:44 AM,1,1,1
212,0,2020,2020/02/19 7:32 AM,2,2,2
213,0,2020,2020/02/18 6:52 AM,3,3,3
214,0,2020,2020/02/17 7:23 AM,3,3,3
215,0,2020,2020/02/16 6:52 AM,3,3,3
216,0,2020,2020/02/15 7:04 AM,1,1,1
217,0,2020,2020/02/14 6:57 AM,2,2,1
218,0,2020,2020/02/13 6:11 AM,2,2,1
219,0,2020,2020/02/12 6:29 AM,2,1,1
220,0,2020,2020/02/11 7:31 AM,1,1,1
221,0,2020,2020/02/10 7:12 AM,2,2,2
222,0,2020,2020/02/09 7:05 AM,3,3,3
223,0,2020,2020/02/08 6:42 AM,4,4,4
224,0,2020,2020/02/07 6:57 AM,4,4,4
225,0,2020,2020/02/06 7:12 AM,3,3,3
226,0,2020,2020/02/05 6:42 AM,2,2,1
227,0,2020,2020/02/04 7:28 AM,2,2,1
228,0,2020,2020/02/03 7:12 AM,1,1,1
229,0,2020,2020/02/02 6:55 AM,1,1,1
230,0,2020,2020/02/01 6:44 AM,2,2,1
231,0,2020,2020/01/31 7:21 AM,2,2,1
232,0,2020,2020/01/30 6:58 AM,2,2,1
233,0,2020,2020/01/29 7:25 AM,2,2,2
234,0,2020,2020/01/28 6:26 AM,2,2,2
235,0,2020,2020/01/27 6:13 AM,2,2,2
236,0,2020,2020/01/26 6:41 AM,2,2,2
237,0,2020,2020/01/25 6:59 AM,2,2,2
