,Zone,Year,Date,Above Danger,Near Danger,Below Danger
0,5,2021,2021/04/12 6:20 AM,1,1,1
1,5,2021,2021/04/11 6:16 AM,1,1,1
2,5,2021,2021/04/10 5:59 AM,1,1,1
3,5,2021,2021/04/09 6:09 AM,1,1,1
4,5,2021,2021/04/08 6:56 AM,1,2,2
5,5,2021,2021/04/07 7:14 AM,1,1,2
6,5,2021,2021/04/06 7:05 AM,2,2,3
7,5,2021,2021/04/05 6:27 AM,3,3,3
8,5,2021,2021/04/04 6:08 AM,3,3,3
9,5,2021,2021/04/03 7:10 AM,2,2,3
10,5,2021,2021/04/02 6:51 AM,2,2,2
11,5,2021,2021/04/01 6:23 AM,2,1,1
12,5,2021,2021/03/31 7:16 AM,2,2,1
13,5,2021,2021/03/30 6:22 AM,2,2,1
14,5,2021,2021/03/29 7:06 AM,2,2,2
15,5,2021,2021/03/28 6:40 AM,2,2,2
16,5,2021,2021/03/27 7:27 AM,2,2,2
17,5,2021,2021/03/26 7:03 AM,2,2,2
18,5,2021,2021/03/25 7:54 AM,2,2,2
19,5,2021,2021/03/24 7:21 AM,2,1,1
20,5,2021,2021/03/23 7:00 AM,2,1,1
21,5,2021,2021/03/22 7:14 AM,2,2,1
22,5,2021,2021/03/21 7:24 AM,2,2,1
23,5,2021,2021/03/20 7:15 AM,1,2,2
24,5,2021,2021/03/19 6:51 AM,2,2,2
25,5,2021,2021/03/18 6:57 AM,2,2,2
26,5,2021,2021/03/17 7:02 AM,2,2,1
27,5,2021,2021/03/16 7:39 AM,3,3,2
28,5,2021,2021/03/15 6:58 AM,3,3,2
29,5,2021,2021/03/14 7:12 AM,2,2,2
30,5,2021,2021/03/13 7:45 AM,2,2,2
31,5,2021,2021/03/12 7:17 AM,1,1,1
32,5,2021,2021/03/11 7:13 AM,2,2,1
33,5,2021,2021/03/10 7:13 AM,2,2,2
34,5,2021,2021/03/09 7:16 AM,2,2,1
35,5,2021,2021/03/08 7:20 AM,2,2,2
36,5,2021,2021/03/07 7:11 AM,2,2,2
37,5,2021,2021/03/06 6:40 AM,2,2,2
38,5,2021,2021/03/05 6:30 AM,2,2,2
39,5,2021,2021/03/04 7:30 AM,2,2,2
40,5,2021,2021/03/03 6:53 AM,2,2,2
41,5,2021,2021/03/02 7:19 AM,2,2,2
42,5,2021,2021/03/01 7:15 AM,2,2,2
43,5,2021,2021/02/28 6:07 AM,2,2,2
44,5,2021,2021/02/27 7:03 AM,2,2,2
45,5,2021,2021/02/26 6:58 AM,2,2,2
46,5,2021,2021/02/25 6:45 AM,2,2,2
47,5,2021,2021/02/24 7:30 AM,3,3,2
48,5,2021,2021/02/23 7:22 AM,3,3,2
49,5,2021,2021/02/22 7:19 AM,3,3,2
50,5,2021,2021/02/21 7:18 AM,3,3,2
51,5,2021,2021/02/20 7:43 AM,3,3,2
52,5,2021,2021/02/19 7:13 AM,3,3,3
53,5,2021,2021/02/18 6:54 AM,3,3,3
54,5,2021,2021/02/17 6:41 AM,3,3,3
55,5,2021,2021/02/16 7:14 AM,3,3,3
56,5,2021,2021/02/15 6:57 AM,3,3,3
57,5,2021,2021/02/14 7:53 AM,3,3,3
58,5,2021,2021/02/13 7:35 AM,4,4,3
59,5,2021,2021/02/12 7:16 AM,3,3,3
60,5,2021,2021/02/11 7:14 AM,3,3,3
61,5,2021,2021/02/10 7:23 AM,3,3,3
62,5,2021,2021/02/09 7:22 AM,3,3,3
63,5,2021,2021/02/08 7:45 AM,3,3,3
64,5,2021,2021/02/07 7:20 AM,3,3,3
65,5,2021,2021/02/06 6:51 AM,3,3,3
66,5,2021,2021/02/05 6:54 AM,4,3,3
67,5,2021,2021/02/04 7:08 AM,4,4,4
68,5,2021,2021/02/03 7:41 AM,4,4,4
69,5,2021,2021/02/02 7:21 AM,3,3,2
70,5,2021,2021/02/01 7:21 AM,3,3,2
71,5,2021,2021/01/31 7:37 AM,3,3,2
72,5,2021,2021/01/30 7:20 AM,3,3,2
73,5,2021,2021/01/29 6:51 AM,2,2,2
74,5,2021,2021/01/28 7:16 AM,3,2,2
75,5,2021,2021/01/27 7:42 AM,3,2,2
76,5,2021,2021/01/26 6:45 AM,3,3,2
77,5,2021,2021/01/25 7:40 AM,3,3,2
78,5,2021,2021/01/24 7:42 AM,3,3,3
79,5,2021,2021/01/23 7:26 AM,3,3,3
80,5,2021,2021/01/22 7:23 AM,2,2,1
81,5,2021,2021/01/21 7:04 AM,1,1,1
82,5,2021,2021/01/20 6:59 AM,1,2,1
83,5,2021,2021/01/19 7:22 AM,1,2,1
84,5,2021,2021/01/18 6:55 AM,1,2,1
85,5,2021,2021/01/17 7:19 AM,2,2,1
86,5,2021,2021/01/16 6:34 AM,2,2,2
87,5,2021,2021/01/15 7:06 AM,2,2,2
88,5,2021,2021/01/14 7:08 AM,2,2,2
89,5,2021,2021/01/13 7:08 AM,2,2,2
90,5,2021,2021/01/12 6:49 AM,2,2,2
91,5,2021,2021/01/11 7:01 AM,2,2,2
92,5,2021,2021/01/10 6:22 AM,2,2,2
93,5,2021,2021/01/09 6:38 AM,2,2,2
94,5,2021,2021/01/08 6:30 AM,2,2,2
95,5,2021,2021/01/07 7:12 AM,2,2,2
96,5,2021,2021/01/06 7:46 AM,2,2,2
97,5,2021,2021/01/05 7:04 AM,2,2,2
98,5,2021,2021/01/04 7:00 AM,2,2,2
99,5,2021,2021/01/03 7:22 AM,3,3,3
100,5,2021,2021/01/02 6:28 AM,3,3,3
101,5,2021,2021/01/01 7:17 AM,3,3,3
102,5,2020,2020/12/31 6:45 AM,3,3,3
103,5,2020,2020/12/30 7:30 AM,3,3,3
104,5,2020,2020/12/29 7:24 AM,4,4,3
105,5,2020,2020/12/28 7:46 AM,3,3,3
106,5,2020,2020/12/27 7:19 AM,2,2,2
107,5,2020,2020/12/26 7:37 AM,3,3,2
108,5,2020,2020/12/25 7:42 AM,3,3,2
109,5,2020,2020/12/24 7:30 AM,3,3,3
110,5,2020,2020/12/23 7:50 AM,3,3,3
111,5,2020,2020/12/22 6:37 AM,3,3,3
112,5,2020,2020/12/21 7:48 AM,3,3,3
113,5,2020,2020/12/20 7:28 AM,3,3,3
114,5,2020,2020/12/19 7:44 AM,3,3,2
115,5,2020,2020/12/18 7:51 AM,3,3,2
116,5,2020,2020/12/17 7:23 AM,2,2,2
117,5,2020,2020/12/16 6:55 AM,3,3,2
118,5,2020,2020/12/15 7:40 AM,3,3,2
119,5,2020,2020/12/14 7:56 AM,3,3,2
120,5,2020,2020/12/13 7:31 AM,3,3,2
121,5,2020,2020/12/12 7:40 AM,3,3,2
122,5,2020,2020/12/11 7:59 AM,2,2,1
123,5,2020,2020/12/10 6:53 AM,1,1,1
124,5,2020,2020/12/09 5:54 AM,1,1,1
125,5,2020,2020/12/08 6:28 AM,1,1,1
126,5,2020,2020/12/07 6:29 AM,1,1,1
